parameter,tp,tn,fn,fp,error_avg,error_median,error_min,error_max
0.01,23,21085,755,95,18.39109888925345,15.073212930969586,0.31825034206369424,119.84404822616854
0.015848931924611134,24,21085,754,95,18.358680916035713,15.055365206782742,0.3182503418392922,119.84404824302428
0.025118864315095794,24,21081,754,99,18.364157747808257,15.06580191982102,0.3182500234420916,119.84405308139762
0.039810717055349734,24,21082,754,98,18.36294238918225,15.06376210906136,0.3182500234420916,119.84405308139762
0.06309573444801933,25,21071,753,109,18.368088812135912,15.063187355971294,0.31825034498385446,119.84404830405252
0.1,27,21065,751,115,18.346388954500103,15.014740552929691,0.31825034395668766,119.84404829599144
0.15848931924611143,30,21047,748,133,18.325261594953705,14.994395822443849,0.3182499375400608,119.84405445736219
0.25118864315095807,46,20992,732,188,18.197196028560167,14.855934444334073,0.39056306649575007,119.84405965420011
0.3981071705534973,53,20939,725,241,18.085108728684062,14.718929895521324,0.3490083534345163,119.84406311358453
0.6309573444801934,78,20888,700,292,17.943385189023736,14.49071143433672,0.3370572449950878,119.84408168691544
1.0,123,20900,655,280,17.759692670914383,13.599734756526496,0.5010019605558078,119.84414624893263
1.584893192461114,194,20887,584,293,17.052279301007225,12.720084989310187,0.48073818866071427,119.84435433678058
2.5118864315095824,396,21030,382,150,14.085643116140025,9.964232939714586,0.29352444166649877,119.84708004597684
3.981071705534973,610,21027,168,153,10.692570926740272,8.295364711784673,0.22946451189638142,91.45252359837352
6.309573444801936,743,21146,35,34,8.94981072329205,8.067562340570444,0.11558432154576223,91.68068336339208
10.0,767,21172,11,8,8.502183793258796,7.942008850087749,0.13786207965677197,69.82607159463547
15.848931924611142,777,21178,1,2,8.414883490291878,7.917599792699866,0.13784416092620938,69.62529410831698
25.11886431509582,762,21177,16,3,8.612797966751788,8.039110941377244,0.13784503966859896,69.62529410831698
39.810717055349734,15,21164,763,16,18.75185069877153,15.332707923112544,0.3110547250205316,119.8401591808216
63.095734448019364,1,21179,777,1,18.588391086564158,15.289268829848247,0.3199321952533128,119.84403735197891
100.0,0,21180,778,0,18.629123471963148,15.303017731554927,0.3182510487427562,119.84403735152615
